NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;NON_SELF_EMPL_M;SELF_EMPL_M;TEMP_ABSENT_M;EMPL_TOTAL_M;NON_SELF_EMPL_W;SELF_EMPL_W;TEMP_ABSENT_W;EMPL_TOTAL_W;NON_SELF_EMPL_TOTAL;SELF_EMPL_TOTAL;TEMP_ABSENT_TOTAL;EMPL_TOTAL;REF_DATE
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62116;Langenwang ;858;149;3;1010;770;95;30;895;1628;244;33;1905;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62125;Pernegg an der Mur ;576;60;3;639;445;51;14;510;1021;111;17;1149;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62128;Sankt Lorenzen im Mürztal ;863;138;0;1001;731;69;37;837;1594;207;37;1838;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62131;Spital am Semmering ;286;65;0;351;255;47;9;311;541;112;9;662;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62132;Stanz im Mürztal ;434;80;0;514;316;81;25;422;750;161;25;936;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62135;Turnau ;342;71;0;413;279;50;25;354;621;121;25;767;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62138;Aflenz ;513;96;4;613;447;80;23;550;960;176;27;1163;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62139;Bruck an der Mur ;3478;395;14;3887;3075;270;132;3477;6553;665;146;7364;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62140;Kapfenberg ;5050;392;23;5465;4076;264;177;4517;9126;656;200;9982;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62141;Kindberg ;1905;217;8;2130;1583;180;68;1831;3488;397;76;3961;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62142;Mariazell ;787;138;6;931;744;108;27;879;1531;246;33;1810;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62143;Mürzzuschlag ;1683;194;8;1885;1442;126;32;1600;3125;320;40;3485;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62144;Neuberg an der Mürz ;504;109;1;614;412;76;7;495;916;185;8;1109;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62145;Sankt Barbara im Mürztal;1377;178;11;1566;1182;135;48;1365;2559;313;59;2931;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62146;Sankt Marein im Mürztal ;628;79;0;707;537;51;30;618;1165;130;30;1325;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62147;Thörl ;510;83;4;597;373;76;20;469;883;159;24;1066;31.10.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62148;Tragöß-Sankt Katharein ;414;70;0;484;315;70;19;404;729;140;19;888;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62202;Bad Blumau ;381;63;1;445;316;52;25;393;697;115;26;838;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62205;Buch-St. Magdalena;515;97;1;613;413;56;27;496;928;153;28;1109;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62206;Burgau ;213;56;1;270;194;18;7;219;407;74;8;489;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62209;Ebersdorf ;316;53;3;372;249;66;17;332;565;119;20;704;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62211;Friedberg ;594;100;2;696;484;77;38;599;1078;177;40;1295;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62214;Greinbach ;425;77;4;506;355;57;22;434;780;134;26;940;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62216;Großsteinbach ;327;46;0;373;239;49;11;299;566;95;11;672;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62219;Hartberg ;1368;238;7;1613;1380;123;61;1564;2748;361;68;3177;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62220;Hartberg Umgebung ;527;102;2;631;386;105;23;514;913;207;25;1145;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62226;Lafnitz ;336;47;0;383;277;48;18;343;613;95;18;726;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62232;Ottendorf an der Rittschein ;427;58;2;487;341;40;22;403;768;98;24;890;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62233;Pinggau ;763;125;3;891;591;100;33;724;1354;225;36;1615;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62235;Pöllauberg ;516;104;0;620;399;96;14;509;915;200;14;1129;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62242;Sankt Jakob im Walde ;279;60;0;339;174;69;11;254;453;129;11;593;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62244;Sankt Johann in der Haide ;508;66;2;576;464;50;24;538;972;116;26;1114;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62245;Sankt Lorenzen am Wechsel ;349;83;2;434;262;76;15;353;611;159;17;787;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62247;Schäffern ;323;67;1;391;234;82;14;330;557;149;15;721;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62252;Söchau ;309;41;1;351;286;33;18;337;595;74;19;688;31.10.2017
