NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;NON_SELF_EMPL_M;SELF_EMPL_M;TEMP_ABSENT_M;EMPL_TOTAL_M;NON_SELF_EMPL_W;SELF_EMPL_W;TEMP_ABSENT_W;EMPL_TOTAL_W;NON_SELF_EMPL_TOTAL;SELF_EMPL_TOTAL;TEMP_ABSENT_TOTAL;EMPL_TOTAL;REF_DATE
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62256;Stubenberg ;471;121;2;594;428;93;10;531;899;214;12;1125;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62262;Wenigzell ;296;93;2;391;235;98;10;343;531;191;12;734;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62264;Bad Waltersdorf ;964;149;2;1115;748;123;54;925;1712;272;56;2040;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62265;Dechantskirchen ;502;93;2;597;374;76;21;471;876;169;23;1068;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62266;Feistritztal;594;103;10;707;469;80;27;576;1063;183;37;1283;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62267;Fürstenfeld ;1788;302;13;2103;1788;180;60;2028;3576;482;73;4131;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62268;Grafendorf bei Hartberg ;725;158;1;884;582;156;20;758;1307;314;21;1642;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62269;Großwilfersdorf ;483;98;4;585;381;88;25;494;864;186;29;1079;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62270;Hartl ;507;121;2;630;421;105;22;548;928;226;24;1178;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62271;Ilz ;898;166;5;1069;800;98;39;937;1698;264;44;2006;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62272;Kaindorf ;699;138;5;842;554;114;36;704;1253;252;41;1546;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62273;Loipersdorf bei Fürstenfeld ;421;78;1;500;379;53;11;443;800;131;12;943;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62274;Neudau ;295;39;2;336;227;22;9;258;522;61;11;594;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62275;Pöllau ;1444;297;15;1756;1203;281;52;1536;2647;578;67;3292;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62276;Rohr bei Hartberg ;338;56;3;397;300;25;14;339;638;81;17;736;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62277;Rohrbach an der Lafnitz ;635;93;1;729;532;82;29;643;1167;175;30;1372;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62278;Vorau ;1059;266;7;1332;834;198;67;1099;1893;464;74;2431;31.10.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62279;Waldbach-Mönichwald;313;105;2;420;258;80;15;353;571;185;17;773;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62311;Edelsbach bei Feldbach ;299;62;0;361;267;48;17;332;566;110;17;693;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62314;Eichkögl ;319;46;1;366;264;37;16;317;583;83;17;683;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62326;Halbenrain ;369;85;6;460;321;55;22;398;690;140;28;858;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62330;Jagerberg ;395;82;1;478;293;90;18;401;688;172;19;879;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62332;Kapfenstein ;356;63;1;420;288;66;16;370;644;129;17;790;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62335;Klöch ;258;75;0;333;227;64;9;300;485;139;9;633;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62343;Mettersdorf am Saßbach ;306;61;2;369;249;44;11;304;555;105;13;673;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62347;Murfeld ;374;72;0;446;326;46;19;391;700;118;19;837;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62368;Tieschen ;278;62;1;341;234;57;9;300;512;119;10;641;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62372;Unterlamm ;312;47;2;361;247;33;12;292;559;80;14;653;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62375;Bad Gleichenberg ;1168;192;12;1372;1027;134;43;1204;2195;326;55;2576;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62376;Bad Radkersburg ;594;115;1;710;567;79;30;676;1161;194;31;1386;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62377;Deutsch Goritz ;440;82;4;526;333;72;21;426;773;154;25;952;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62378;Fehring ;1623;288;6;1917;1319;246;70;1635;2942;534;76;3552;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62379;Feldbach ;2982;463;19;3464;2699;252;117;3068;5681;715;136;6532;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62380;Gnas ;1477;293;9;1779;1145;277;73;1495;2622;570;82;3274;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62381;Kirchbach-Zerlach;808;147;3;958;659;120;30;809;1467;267;33;1767;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62382;Kirchberg an der Raab ;1053;223;8;1284;865;168;59;1092;1918;391;67;2376;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62383;Mureck ;786;135;2;923;645;90;23;758;1431;225;25;1681;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62384;Paldau ;751;133;7;891;613;105;36;754;1364;238;43;1645;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62385;Pirching am Traubenberg ;624;124;2;750;559;72;25;656;1183;196;27;1406;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62386;Riegersburg ;1195;231;7;1433;964;189;39;1192;2159;420;46;2625;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62387;Sankt Anna am Aigen ;555;135;1;691;448;104;25;577;1003;239;26;1268;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62388;Sankt Peter am Ottersbach ;757;106;5;868;595;110;25;730;1352;216;30;1598;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62389;Sankt Stefan im Rosental ;925;177;7;1109;788;145;40;973;1713;322;47;2082;31.10.2017
AT2;AT22;AT224;623;Südoststeiermark;62390;Straden ;831;199;4;1034;685;146;30;861;1516;345;34;1895;31.10.2017
